time,ticket,type,volume,price,commission,swap,profit,comment
2026-02-11 05:49:17,1372313400,SELL,0.07,5037.59,0.0,0.0,-41.86,[sl 5037.59]
2026-02-11 05:50:54,1372316280,SELL,0.06,5036.89,0.0,0.0,9.0,[sl 5036.89]
2026-02-11 05:56:43,1372322101,SELL,0.06,5031.03,0.0,0.0,-36.12,[sl 5031.03]
2026-02-11 06:24:20,1372349545,SELL,0.06,5025.35,0.0,0.0,-35.82,[sl 5025.35]
2026-02-11 06:46:35,1372364085,SELL,0.05,5022.21,0.0,0.0,-30.0,[sl 5022.21]
2026-02-11 08:07:11,1372387798,SELL,0.05,5035.15,0.0,0.0,7.5,[sl 5035.15]
2026-02-11 08:07:45,1372389799,SELL,0.05,5030.99,0.0,0.0,7.5,[sl 5030.99]
2026-02-11 08:18:33,1372403144,SELL,0.05,5043.15,0.0,0.0,59.6,[tp 5043.15]
2026-02-11 08:21:37,1372410440,SELL,0.06,5045.27,0.0,0.0,9.0,[sl 5045.27]
2026-02-11 08:24:49,1372418068,SELL,0.06,5048.03,0.0,0.0,15.0,[sl 5048.03]
2026-02-11 08:34:03,1372431301,SELL,0.06,5042.25,0.0,0.0,-35.94,[sl 5042.25]
2026-02-11 08:48:04,1372447560,SELL,0.06,5044.17,0.0,0.0,9.0,[sl 5044.17]
2026-02-11 09:06:40,1372462566,SELL,0.06,5037.71,0.0,0.0,-36.0,[sl 5037.71]
2026-02-11 09:09:25,1372467377,SELL,0.06,5040.1,0.0,0.0,15.0,[sl 5040.10]
2026-02-11 09:11:05,1372470662,SELL,0.06,5034.16,0.0,0.0,-35.94,[sl 5034.16]
2026-02-11 09:14:04,1372477991,SELL,0.05,5036.26,0.0,0.0,12.5,[sl 5036.26]
2026-02-11 09:15:23,1372480457,SELL,0.05,5030.33,0.0,0.0,-29.25,[sl 5030.33]
2026-02-11 09:16:46,1372482729,SELL,0.05,5032.4,0.0,0.0,7.5,[sl 5032.40]
2026-02-11 09:23:25,1372497291,SELL,0.05,5033.73,0.0,0.0,12.5,[sl 5033.73]
2026-02-11 09:34:52,1372514995,SELL,0.05,5045.83,0.0,0.0,57.0,[tp 5045.83]
2026-02-11 09:44:25,1372531510,SELL,0.06,5040.87,0.0,0.0,-38.28,[sl 5040.87]
2026-02-11 09:48:15,1372538999,SELL,0.06,5035.21,0.0,0.0,-36.36,[sl 5035.21]
2026-02-11 10:04:12,1372569005,SELL,0.05,5047.12,0.0,0.0,60.05,[tp 5047.12]
2026-02-11 11:02:13,1372676339,SELL,0.06,5048.95,0.0,0.0,18.0,[sl 5048.95]
2026-02-11 11:02:57,1372680111,SELL,0.06,5043.59,0.0,0.0,-35.88,[sl 5043.59]
2026-02-11 11:06:39,1372689750,SELL,0.06,5038.17,0.0,0.0,-36.0,[sl 5038.17]
2026-02-11 11:12:07,1372700817,SELL,0.05,5038.13,0.0,0.0,5.0,[sl 5038.13]
2026-02-11 11:25:11,1372727144,SELL,0.05,5041.25,0.0,0.0,15.0,[sl 5041.25]
2026-02-11 11:44:17,1372754567,SELL,0.05,5053.63,0.0,0.0,60.05,[tp 5053.63]
2026-02-11 12:00:28,1372782733,SELL,0.06,5052.42,0.0,0.0,6.0,[sl 5052.42]
2026-02-11 12:16:45,1372808792,SELL,0.06,5046.59,0.0,0.0,-36.0,[sl 5046.59]
2026-02-11 12:23:21,1372825156,SELL,0.06,5057.95,0.0,0.0,72.0,[tp 5057.95]
2026-02-11 13:48:09,1372950008,SELL,0.06,5051.62,0.0,0.0,-35.34,[sl 5051.62]
2026-02-11 14:02:28,1372979383,SELL,0.06,5044.63,0.0,0.0,-36.3,[sl 5044.63]
2026-02-11 14:35:14,1373043042,SELL,0.06,5059.12,0.0,0.0,72.0,[tp 5059.12]
2026-02-11 14:48:46,1373075649,SELL,0.06,5056.94,0.0,0.0,-35.94,[sl 5056.94]
2026-02-11 15:21:03,1373163711,SELL,0.06,5058.46,0.0,0.0,47.88,[sl 5058.46]
2026-02-11 16:13:35,1373290695,SELL,0.07,5058.44,0.0,0.0,-43.33,[sl 5058.44]
2026-02-11 16:14:39,1373296323,SELL,0.06,5057.39,0.0,0.0,-36.0,[sl 5057.39]
2026-02-11 16:18:49,1373308680,SELL,0.06,5061.54,0.0,0.0,6.0,[sl 5061.54]
2026-02-11 16:23:02,1373320901,SELL,0.06,5056.29,0.0,0.0,-36.54,[sl 5056.29]
2026-02-11 16:39:25,1373362730,SELL,0.05,5054.95,0.0,0.0,-30.0,[sl 5054.95]
