time,open,high,low,close,tick_volume,spread
2025-12-29 01:30:00,4535.76,4540.29,4530.73,4532.62,4035,42
2025-12-29 01:45:00,4532.28,4534.72,4525.79,4527.1,3520,42
2025-12-29 02:00:00,4527.11,4527.89,4514.95,4524.09,4801,27
2025-12-29 02:15:00,4524.09,4524.09,4481.92,4486.91,6130,23
2025-12-29 02:30:00,4486.99,4503.15,4472.47,4489.36,5417,23
2025-12-29 02:45:00,4489.34,4506.52,4489.19,4497.14,3909,23
2025-12-29 03:00:00,4497.13,4514.55,4492.82,4512.24,5911,23
2025-12-29 03:15:00,4512.26,4517.38,4495.82,4499.32,4901,23
2025-12-29 03:30:00,4499.3,4507.71,4492.28,4501.93,6046,23
2025-12-29 03:45:00,4501.93,4506.62,4494.91,4496.91,4812,23
2025-12-29 04:00:00,4496.96,4509.06,4496.26,4506.96,4699,23
2025-12-29 04:15:00,4506.88,4514.25,4504.04,4512.45,3174,23
2025-12-29 04:30:00,4512.52,4515.55,4508.76,4511.69,4543,23
2025-12-29 04:45:00,4511.65,4515.77,4509.33,4512.42,3922,23
2025-12-29 05:00:00,4512.38,4518.74,4509.34,4515.25,4581,23
2025-12-29 05:15:00,4515.24,4518.16,4512.15,4512.81,5598,23
2025-12-29 05:30:00,4512.76,4520.33,4512.76,4516.54,3619,23
2025-12-29 05:45:00,4516.54,4517.59,4513.69,4516.5,2669,23
2025-12-29 06:00:00,4516.36,4516.82,4507.86,4514.95,3340,23
2025-12-29 06:15:00,4514.86,4516.0,4510.66,4514.14,3009,23
2025-12-29 06:30:00,4514.13,4519.45,4513.02,4515.58,2142,23
2025-12-29 06:45:00,4515.58,4516.29,4513.31,4515.59,2751,23
2025-12-29 07:00:00,4515.45,4515.45,4509.79,4514.63,3152,23
2025-12-29 07:15:00,4514.64,4515.85,4510.99,4513.92,2672,23
2025-12-29 07:30:00,4513.94,4519.21,4512.01,4516.26,3330,23
2025-12-29 07:45:00,4516.81,4517.52,4504.98,4506.63,4445,23
2025-12-29 08:00:00,4506.62,4510.59,4500.17,4505.94,5080,23
2025-12-29 08:15:00,4505.93,4507.11,4489.06,4490.62,5004,23
2025-12-29 08:30:00,4490.5,4497.65,4484.62,4487.16,5532,23
2025-12-29 08:45:00,4487.22,4487.81,4471.02,4475.05,5476,23
2025-12-29 09:00:00,4474.88,4476.45,4445.47,4473.53,6730,23
2025-12-29 09:15:00,4473.52,4481.65,4471.3,4471.34,4216,23
2025-12-29 09:30:00,4471.51,4479.54,4470.14,4473.44,3689,23
2025-12-29 09:45:00,4473.39,4478.57,4472.87,4474.49,4015,23
2025-12-29 10:00:00,4474.59,4485.79,4466.06,4483.75,4888,23
2025-12-29 10:15:00,4483.79,4488.37,4479.95,4479.97,3819,23
2025-12-29 10:30:00,4479.99,4480.58,4469.72,4469.91,4651,23
2025-12-29 10:45:00,4469.99,4471.91,4452.55,4461.03,5446,23
2025-12-29 11:00:00,4461.03,4467.74,4459.13,4467.44,5310,23
2025-12-29 11:15:00,4467.34,4468.86,4462.04,4465.91,4017,23
2025-12-29 11:30:00,4465.95,4475.6,4460.21,4475.51,3902,23
2025-12-29 11:45:00,4475.51,4476.21,4468.93,4472.2,2717,23
2025-12-29 12:00:00,4472.13,4474.55,4468.84,4471.04,2762,23
2025-12-29 12:15:00,4470.99,4472.32,4462.66,4462.7,3199,23
2025-12-29 12:30:00,4462.69,4463.71,4456.95,4460.0,3951,23
2025-12-29 12:45:00,4459.9,4463.25,4458.5,4460.82,3404,23
2025-12-29 13:00:00,4460.91,4461.0,4455.89,4458.27,3165,23
